date,temp,wind,rain
2013013110,5.1,1.95,0
2013013111,6.725,1.675,0
2013013112,8.4,0.95,0
2013013113,8.8,1.25,0
2013013114,9.5,1.025,0
2013013115,9.6,1.575,0
2013013116,9.475,1.85,0
2013013117,8.975,2.1,0
2013013118,8.5,3.7,0
2013013119,8.15,2.025,0
2013013102,3.55,1.825,0
2013013120,7.75,2.05,0
2013013121,8.575,3.025,0
2013013122,8.225,2.4,0
2013013123,8.325,2.8,0
2013013103,4.225,1.05,0
2013013104,4.2,1.5,0
2013013105,3.825,1.875,0
2013013106,3.2,2.1,0
2013013107,3.075,1.85,0
2013013108,3.125,1.425,0
2013013109,3.75,1.225,0
2013020100,8.225,2.875,0
2013020101,7.875,3.1,0
2013020110,6.75,5.55,3
2013020111,7.35,5.925,3
2013020112,7.425,6.475,4.375
2013020113,7.875,4.325,4.625
2013020114,7.85,4.025,6.375
2013020115,8.3,2.475,3.375
2013020116,7.925,2.1,0.625
2013020117,7.675,2,0
2013020118,7,2.65,0.125
2013020119,6.3,3.15,0.25
2013020102,7.5,2.725,0
2013020120,5.7,3.775,0
2013020121,5.35,3.375,0
2013020122,4.5,3.175,0
2013020123,3.975,3.425,0
2013020103,7.15,2.35,0.125
2013020104,6.75,2.9,1.25
2013020105,6.575,3.775,2.5
2013020106,7.1,4.15,4.25
2013020107,7.125,4.875,2.625
2013020108,7.675,5.425,2.5
2013020109,6.35,6.125,1.625
2013020200,2.7,3.025,0
2013020201,1.5,1.625,0
2013020210,-3.1,2.1,0
2013020211,-2.5,1.8,0
2013020212,-1.7,3.1,0
2013020213,-1,3.125,0
2013020214,-0.6,3.45,0
2013020215,-0.575,3,0
2013020216,-0.45,3.475,0
2013020217,-0.9,3.45,0
2013020218,-2.8,2.8,0
2013020219,-3.8,3.35,0
2013020202,0.625,1.875,0
2013020220,-3.95,3.55,0
2013020221,-4.425,2.575,0
2013020222,-4.825,2.9,0
2013020223,-5.575,3.175,0
